Date,Apple,Microsoft,Intel,IBM,Facebook,Google
2016-06-16,97.550003,50.389999,31.690001,151.059998,114.389999,710.359985
2016-06-17,95.330002,50.130001,31.76,151.990005,113.019997,691.719971
2016-06-20,95.099998,50.07,32.169998,153.610001,113.370003,693.710022
2016-06-21,95.910004,51.189999,32.32,154.050003,114.379997,695.940002
2016-06-22,95.550003,50.990002,32.290001,152.919998,113.910004,697.460022
2016-06-23,96.099998,51.91,32.990002,155.350006,115.080002,701.869995
2016-06-24,93.400002,49.830002,31.549999,146.589996,112.080002,675.219971
2016-06-27,92.040001,48.43,30.719999,143.5,108.970001,668.26001
2016-06-28,93.589996,49.439999,31.190001,145.699997,112.699997,680.039978
2016-06-29,94.400002,50.540001,31.93,148.460007,114.160004,684.109985
2016-06-30,95.599998,51.169998,32.799999,151.779999,114.279999,692.099976
2016-07-01,95.889999,51.16,32.75,152.350006,114.190002,699.210022
2016-07-05,94.989998,51.169998,32.68,151.679993,114.199997,694.950012
2016-07-06,95.529999,51.380001,32.970001,152.369995,116.699997,697.77002
2016-07-07,95.940002,51.380001,33.200001,152.600006,115.849998,695.359985
2016-07-08,96.68,52.299999,34,154.460007,117.239998,705.630005
2016-07-11,96.980003,52.59,34.380001,155.330002,117.870003,715.090027
2016-07-12,97.419998,53.209999,34.939999,157.039993,117.93,720.640015
2016-07-13,96.870003,53.509998,35.009998,158.020004,116.779999,716.97998
2016-07-14,98.790001,53.740002,35.200001,160.279999,117.290001,720.950012
2016-07-15,98.779999,53.700001,35.07,159.779999,116.860001,719.849976
2016-07-18,99.830002,53.959999,35.049999,159.860001,119.370003,733.780029
2016-07-19,99.870003,53.09,35.150002,159.580002,120.610001,736.960022
2016-07-20,99.959999,55.91,35.689999,161.360001,121.919998,741.190002
2016-07-21,99.43,55.799999,34.27,160.449997,120.610001,738.630005
2016-07-22,98.660004,56.57,34.66,162.070007,121,742.73999
2016-07-25,97.339996,56.73,34.689999,162.649994,121.629997,739.77002
2016-07-26,96.669998,56.759998,35.09,162.119995,121.220001,738.419983
2016-07-27,102.949997,56.189999,34.830002,161.830002,123.339996,741.77002
2016-07-28,104.339996,56.209999,34.77,161.369995,125,745.909973
2016-07-29,104.209999,56.68,34.860001,160.619995,123.940002,768.789978
2016-08-01,106.050003,56.580002,34.849998,161.449997,124.309998,772.880005
2016-08-02,104.480003,56.580002,34.560001,160.580002,123.089996,771.070007
2016-08-03,105.790001,56.970001,34.25,160.669998,122.510002,773.179993
2016-08-04,105.870003,57.389999,34.580002,161.550003,124.360001,771.609985
2016-08-05,107.480003,57.959999,34.98,163.5,125.150002,782.219971
2016-08-08,108.370003,58.060001,35.040001,162.039993,125.260002,781.76001
2016-08-09,108.809998,58.200001,34.919998,161.770004,125.059998,784.26001
2016-08-10,108,58.02,34.529999,162.080002,124.879997,784.679993
2016-08-11,107.93,58.299999,34.68,163.529999,124.900002,784.849976
2016-08-12,108.18,57.939999,34.57,161.949997,124.879997,783.219971
