objID specObjID
1237654600489894023 5333636442797830144
1237654604247859291 3551245342349565952
1237654599953023104 3551245617227472896
1237654604247924762 3551246166983286784
1237654599953154254 3551254688198402048
1237654600489959618 3551255237954215936
1237654599953154095 3551256062587936768
1237654604247924780 3551256887221657600
1237654599952957547 3667138816843554816
1237654604247859431 3667141290744717312
1237654604247924796 3667141840500531200
1237654604247793926 3667143489767972864
1237654600490025086 3667152560738902016
1237654604247728404 3551231598454218752
1237654599952957579 3551232148210032640
1237654604247728407 3551233247721660416
1237654604247793923 3551233522599567360
1237654599952892062 3551236821134450688
1237654604247859364 3551243967960031232
1237654604247924750 3551244242837938176
1237654600489959597 3551244517715845120
1237654604247859280 3551244792593752064
1237654604247859263 3551245067471659008
1237648722828656715 3551092510233305088
1237648722828066958 5333477013611802624
1237653664185581670 3551095808768188416
1237651753460760673 3551096358524002304
1237651753460170766 5333479762390872064
1237648722827935932 5333500653111799808
1237653664185516111 3551107628518187008
1237651753460760639 3551108178274000896
1237651753460826220 3551249190640263168
1237653664184926282 3551123021680975872
1237651752923431030 3551123846314696704
1237651752923299976 3551124396070510592
1237653664185057323 3551124670948417536
1237651752923300019 3551124945826324480
1237651752923431070 3551126320215859200
1237653664721928280 3551131542896091136
1237651753460302012 3551132642407718912
1237653664721928260 5333451724844363776
1237654604247990503 3667154210006343680
1237654604247990384 3667155034640064512
1237653664722452503 3551250839907704832
1237651753460236463 5333457222402502656
1237653664721928334 5333461345571106816
1237651753460170860 5333468217518780416
1237653664721862670 5333472065809477632
1237653664721928220 3551132917285625856
1237653664721862805 3551133192163532800
1237651753460170930 3551134291675160576
1237651753460236396 3551134841430974464
1237651753460236325 3551135116308881408
1237651753460236304 3551135391186788352
1237651753460170853 3551135666064695296
1237653664184991800 3551135940942602240
1237651753460236479 3551136215820509184
1237653664185057420 3551136490698416128
1237653664184991973 3551136765576323072
1237651753460236473 3551137040454230016
1237651753460236440 3551137315332136960
1237651753460170923 3551137590210043904
1237653664721862764 3551137865087950848
1237653664721731755 3551138139965857792
1237653664184860920 3551138689721671680
1237651753460171069 3551138964599578624
1237651753460105492 3551139239477485568
1237651753460105451 3551139514355392512
1237653664721731821 3551139789233299456
1237651753460040071 3551140064111206400
1237653664721731643 3551140338989113344
1237651753460039976 3551140613867020288
1237653664721797242 3551140888744927232
1237653664721731667 3551141163622834176
1237653664721731728 3551141713378648064
1237653664721731805 3551141988256555008
1237653664721731817 3551143087768182784
1237651752923234453 3551143637523996672
1237653664184860926 3551143912401903616
1237648722827870374 3551144187279810560
1237648722827870367 3551145286791438336
1237653664184860897 3551145561669345280
1237648722828001339 3551146111425159168
1237653664184926238 3551146386303066112
1237651752923168874 3551146661180973056
1237653664184926330 3551146936058880000
1237651752923234332 3551147210936786944
1237653664184795336 3551148035570507776
1237653665259061548 5333409393646694400
1237651754534109319 5333602357937369088
1237648722828001410 3551148310448414720
1237651753459974241 3551149135082135552
1237653664184795365 3551149684837949440
1237653664184729778 3551150234593763328
1237651753460040016 3551150784349577216
1237651753459974277 3551151059227484160
1237653664721666117 3551152708494925824
1237653664721600684 3551152983372832768
1237653664721600712 3551153258250739712
1237653664721600609 3551153808006553600
1237653664721666294 3551154082884460544
1237651753459974302 3551154357762367488
1237651752923103389 3551154632640274432
1237651752923103448 3551155732151902208
1237648722827870237 3551156831663529984
1237653664184729656 3551157381419343872
1237651752923103254 3551157656297250816
1237651752923103261 3551157931175157760
1237648722828066938 3211178484583917568
1237648722828066862 3211178759461824512
1237648722828001342 3211179309217638400
1237651752923299851 3211180133851359232
1237651752923430934 3211188655066474496
1237648722828132438 3211189204822288384
1237651752923365454 3211189479700195328
1237648722828132408 3211190304333916160
